Year,All Cyclones (>=34 kts) - East Coast - WB,All Cyclones (>=34 kts) - East Coast - OD,All Cyclones (>=34 kts) - East Coast - AP,All Cyclones (>=34 kts) - East Coast - TN,All Cyclones (>=34 kts) - West Coast - GJ,All Cyclones (>=34 kts) - West Coast - MH/GA,All Cyclones (>=34 kts) - West Coast - KK,All Cyclones (>=34 kts) - West Coast - KR,Severe Cyclonic Storm (>=47 kts) - East Coast - WB,Severe Cyclonic Storm (>=47 kts) - East Coast - OD,Severe Cyclonic Storm (>=47 kts) - East Coast - AP,Severe Cyclonic Storm (>=47 kts) - East Coast - TN,Severe Cyclonic Storm (>=47 kts) - West Coast - GJ,Severe Cyclonic Storm (>=47 kts) - West Coast - MH/GA,Severe Cyclonic Storm (>=47 kts) - West Coast - KK,Severe Cyclonic Storm (>=47 kts) - West Coast - KR
1970,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1971,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1972,0,2,2,1,0,0,0,0,0,1,2,1,0,0,0,0
1973,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1974,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1975,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1976,1,0,2,0,1,0,0,0,1,0,2,0,1,0,0,0
1977,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0
1978,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1979,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,1,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0
1982,0,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0
1983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
1985,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0
1990,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1993,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,2,1,1,0,0,0,0,0,1,1,1,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0
1999,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2000,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
2001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2010,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2014,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,46,95,77,55,22,6,0,2,23,22,31,30,11,4,0,1
